"Sample_name","Mean_coverage","Callable_fraction","Lymphoma_type","ResolveDNA_version","CNV","BAF","CallableLociQuality","predicted_logistic","residual"
"PB08410-BM-BCELL2C8",14.294272,0.59718581959277,"Burkitt","v1","Bad","Bad","Pass",0.766695695003887,-0.169509875411116
"PB08410-BM-BCELL2E6",19.99215,0.770788938667487,"Burkitt","v1","Intermediate","Intermediate","Pass",0.826427900211436,-0.055638961543949
"PJBUGTDABC5",12.509778,0.60487817256433,"Burkitt","v2","Good","Good","Pass",0.721126491326501,-0.116248318762171
"PJBUGTDABC7",12.608956,0.668532304930951,"Burkitt","v2","Intermediate","Intermediate","Pass",0.72417896810461,-0.0556466631736587
"PJBUGTDABC12",9.857655,0.535240237692089,"Burkitt","v2","Bad","Bad","Pass",0.613292448784899,-0.0780522110928098
"PJBUGTDABC14",12.044866,0.578163286746023,"Burkitt","v2","Bad","Bad","Pass",0.705918859440895,-0.127755572694871
"PJBUGTDABC15",10.727424,0.484964361208904,"Burkitt","v2","Bad","Bad","Pass",0.654360052853037,-0.169395691644133
"PJBUGTDABC36",12.573666,0.621403509128407,"Burkitt","v2","Bad","Bad","Pass",0.723100398439838,-0.101696889311431
"PJBUGTDABC47",10.475972,0.55449533395687,"Burkitt","v2","Bad","Bad","Pass",0.643056912254751,-0.0885615782978809
"PJBUGTDBBC61",12.729999,0.659469004397851,"Burkitt","v2","Bad","Bad","Pass",0.727815365627195,-0.0683463612293443
"PJBUGTDBBC66",10.256164,0.577636763721291,"Burkitt","v2","Bad","Bad","Pass",0.632793620983195,-0.0551568572619042
"PVA9GTDABC8",11.887773,0.534124600999678,"Burkitt","v2","Bad","Bad","Pass",0.700437276275445,-0.166312675275768
"PVA9GTDABC9",10.960753,0.591962410180576,"Burkitt","v2","Bad","Bad","Pass",0.664427653953873,-0.0724652437732975
"PVA9GTDABC26",10.20324,0.577089775421762,"Burkitt","v2","Bad","Bad","Pass",0.63026965788102,-0.0531798824592576
"PVA9GTDABC29",8.412481,0.468994427308332,"Burkitt","v2","Bad","Bad","Pass",0.533778339143223,-0.064783911834891
"PVA9GTDBBC64",12.290544,0.622760548346254,"Burkitt","v2","Bad","Bad","Pass",0.714141820344163,-0.0913812719979081
"PVA9GTDBBC72",11.973726,0.595271072585861,"Burkitt","v2","Bad","Bad","Pass",0.703458316352372,-0.108187243766512
"PVA9GTDBBC75",11.058564,0.607001884958505,"Burkitt","v2","Bad","Bad","Pass",0.66852718638242,-0.0615253014239154
"P3G6GDDABC71",8.713984,0.478433355482124,"Burkitt","v2.0","Good","Good","Pass",0.551385853824129,-0.0729524983420047
"P3G6GPDABC27",9.767736,0.545198897367086,"Burkitt","v1","Intermediate","Good","Pass",0.608736272686755,-0.0635373753196692
"PB14458-BLPL-BCELLP4C3",17.568617,0.731583607258571,"Burkitt","v2.0","Bad","Bad","Pass",0.811616404237145,-0.0800327969785745
"PB14458-BLPL-BCELLP4D3",14.093036,0.690926196101102,"Burkitt","v2.0","Bad","Bad","Pass",0.762474565497402,-0.0715483693963006
"PB14458-BLPL-BCELLP4E3",16.851814,0.674874646621984,"Burkitt","v2.0","Bad","Bad","Pass",0.804882384940975,-0.130007738318991
"PB14458-BLPL-BCELLP4J3",15.71198,0.677940914219593,"Burkitt","v2.0","Bad","Bad","Pass",0.791005387254729,-0.113064473035136
"PB14458-BLPL-BCELLP4K3",18.73715,0.647053395611847,"Burkitt","v2.0","Bad","Bad","Pass",0.82004403264586,-0.172990637034013
"P856GDDUBC33",11.180037,0.579687938972308,"Burkitt","v2.0","Bad","Bad","Pass",0.673519202344014,-0.0938312633717063
"P856GDDUBC34",9.455698,0.517406793372801,"Burkitt","v2.0","Bad","Bad","Pass",0.592494605624663,-0.0750878122518617
"P856GDDUBC45",11.459696,0.615190273775082,"Burkitt","v2.0","Bad","Bad","Pass",0.684595431728057,-0.0694051579529759
"PB14458-BLBM-BCELLP2N4",16.906891,0.751740982413207,"Burkitt","v2.0","Bad","Bad","Pass",0.805449040915494,-0.0537080585022873
"PIA9GTDABC3",10.726359,0.567335877412645,"Burkitt","v2","Good","Good","Pass",0.654313170238245,-0.0869772928256006
"PIA9GTDABC4",13.051214,0.68572324139976,"Burkitt","v2","Good","Good","Pass",0.737001475028736,-0.0512782336289769
"PIA9GTDABC8",11.3963,0.572278954342344,"Burkitt","v2","Good","Good","Pass",0.682135293077289,-0.109856338734944
"PIA9GTDABC10",11.150939,0.535054986538983,"Burkitt","v2","Bad","Intermediate","Pass",0.672333406849381,-0.137278420310398
"PIA9GTDABC14",11.245685,0.579761174428628,"Burkitt","v2","Bad","Bad","Pass",0.676171349956424,-0.0964101755277962
"PIA9GTDABC16",11.853233,0.609036397954765,"Burkitt","v2","Intermediate","Intermediate","Pass",0.699208360925117,-0.0901719629703525
"PIA9GTDABC29",10.064846,0.513287538738108,"Burkitt","v2","Bad","Bad","Pass",0.623573624704772,-0.110286085966664
"PIA9GTDBBC70",12.216,0.649190632769245,"Burkitt","v2","Bad","Bad","Pass",0.71169143614021,-0.0625008033709648
